budget,year,revenue,vote_average,title,runtime
7000000,1988,72500000,5.8,A Nightmare on Elm Street 4: The Dream Master,99
13000000,1988,44726644,6.6,Young Guns,107
12300000,1988,84460846,7,The Land Before Time,69
10500000,1988,14144000,4.5,Poltergeist III,98
9000000,1988,44196684,6.3,Child's Play,87
8000000,1988,553171,7.8,Akira,124
7000000,1988,20256975,4.9,Action Jackson,96
7000000,1988,8373585,7,The Last Temptation of Christ,164
0,1988,0,6.2,School Daze,121
0,1988,0,5.9,Mystic Pizza,104
5000000,1988,17768757,5.9,Halloween 4: The Return of Michael Myers,88
0,1988,0,6.3,Lady in White,112
4000000,1988,13008928,7.1,They Live,94
4000000,1988,3468572,6.7,Talk Radio,110
1300000,1988,354704,6.7,Prison,102
3000000,1988,7282851,6.3,Phantasm II,97
0,1988,0,6,Iguana,88
2800000,1988,19170001,5.3,Friday the 13th Part VII: The New Blood,88
1500000,1988,11806119,6.6,Bloodsport,92
70000000,1989,90000098,7.1,The Abyss,139
55000000,1989,63408614,6.1,Tango & Cash,104
48000000,1989,474171806,7.6,Indiana Jones and the Last Crusade,127
32000000,1989,156167015,5.9,Licence to Kill,133
40000000,1989,332000000,7.4,Back to the Future Part II,108
35000000,1989,411348924,7,Batman,126
30000000,1989,70200000,5.6,Star Trek V: The Final Frontier,107
30000000,1989,45892212,6.2,Black Rain,125
18000000,1989,26828365,7.4,Glory,122
20000000,1989,0,5.6,We're No Angels,106
19000000,1989,110879513,6.7,Sea of Love,113
0,1989,0,5.6,Troop Beverly Hills,105
16400000,1989,235860116,8.1,Dead Poets Society,129
16000000,1989,92823546,7.3,When Harry Met Sally...,96
15000000,1989,0,6.2,New York Stories,124
14000000,1989,161001698,6.7,Born on the Fourth of July,145
11500000,1989,57469467,6.4,Pet Sematary,103
11000000,1989,49797148,6.6,Major League,107
10000000,1989,40485039,6.7,Bill & Ted's Excellent Adventure,90
15000000,1989,30050028,6.3,Road House,114
9000000,1989,0,7.4,Henry V,137
0,1989,882290,5.9,The Blood of Heroes,100
7500000,1989,145793296,7,Driving Miss Daisy,99
7000000,1989,0,5.8,Warlock,103
8000000,1989,22168359,5.5,A Nightmare on Elm Street 5: The Dream Child,89
5000000,1989,11642254,5.2,Halloween 5: The Revenge of Michael Myers,96
6500000,1989,37295445,7.6,Do the Right Thing,120
5000000,1989,14000000,4.8,Friday the 13th Part VIII: Jason Takes Manhattan,100
5000000,1989,0,6.7,UHF,97
0,1989,0,5.3,The Toxic Avenger Part II,96
1200000,1989,0,6.7,"Sex, Lies, and Videotape",100
160000,1989,6706368,7.4,Roger & Me,91
65000000,1990,261317921,7.1,Total Recall,113
70000000,1990,240031094,6.6,Die Hard 2,124
60000000,1990,157920733,5.9,Days of Thunder,107
54000000,1990,136766062,7.1,The Godfather: Part III,162
50000000,1990,41482207,6.2,Gremlins 2: The New Batch,106
49000000,1990,20423389,6.2,The Adventures of Ford Fairlane,104
47000000,1990,103738726,5.9,Dick Tracy,103
40000000,1990,244527583,7.1,Back to the Future Part III,118
35000000,1990,57120318,5.9,Predator 2,108
31000000,1990,53208180,6.2,Arachnophobia,103
30000000,1990,199200000,7.2,The Hunt for Red October,134
15000000,1990,201957688,5.8,Kindergarten Cop,111
26000000,1990,61489265,6.3,Flatliners,115
25000000,1990,46836394,8.2,GoodFellas,145
22000000,1990,505000000,6.9,Ghost,127
20000000,1990,53000000,7.5,Edward Scissorhands,105
0,1990,0,6.5,Quigley Down Under,119
22000000,1990,424208848,7.6,Dances with Wolves,181
18000000,1990,476684675,7.1,Home Alone,103
14000000,1990,463000000,7,Pretty Woman,119
13000000,1990,35763605,5.8,Child's Play 2,84
10000000,1990,16153593,6.3,Mo' Better Blues,129
11000000,1990,48572000,6.6,Tremors,96
